"","Sample_ID","OR","Project","Date_sampled","WY","FL","TW","Station_code","Site.Name","Region_USE","Lat","Long","Region_subdivided5"
"1","DM14007",363.576,"DM","2014-02-12",2014,62,2.11,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"2","DM14008",321.474,"DM","2014-03-06",2014,46,0.88,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"3","DM14009",312.59,"DM","2014-03-06",2014,48,1.16,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"4","DM14010",286.484,"DM","2014-03-06",2014,50,0.83,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"5","DM14011",309.952,"DM","2014-03-06",2014,46,0.96,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"6","DM14012",377.828,"DM","2014-03-12",2014,49,0.89,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"7","DM14013",312.664,"DM","2014-03-12",2014,47,0.87,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"8","DM14014",358.625,"DM","2014-03-12",2014,48,1.14,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"9","DM14015",253.054,"DM","2014-03-12",2014,37,0.55,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"10","DM14018",413.185,"DM","2014-04-11",2014,77,5.04,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"11","DM14026",452.203,"DM","2014-04-11",2014,71,3.82,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"12","DM14027",473.412,"DM","2014-04-11",2014,74,4.68,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"13","DM14029",246.13,"DM","2014-03-13",2014,37,0.29,"SR080E","Verona","excl",38.78414982,-121.6178397,"excl"
"14","DM14043",382.661,"DM","2014-03-31",2014,50,1.6,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"15","DM14044",365.53,"DM","2014-03-31",2014,50,1.48,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"16","DM14045",384.03,"DM","2014-03-31",2014,55,1.63,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"17","DM14046",490.989,"DM","2014-05-13",2014,86,6.92,"AM001S","American River","excl",38.59935675,-121.5057333,"excl"
"18","DM14047",448.19,"DM","2014-05-13",2014,80,5.97,"AM001S","American River","excl",38.59935675,-121.5057333,"excl"
"19","DM14048",467.313,"DM","2014-05-13",2014,78,5.16,"AM001S","American River","excl",38.59935675,-121.5057333,"excl"
"20","DM14050",482.226,"DM","2014-05-13",2014,78,5.4,"AM001S","American River","excl",38.59935675,-121.5057333,"excl"
"21","DM14054",438.793,"DM","2014-05-07",2014,79,4.96,"SR012W","Sandy Beach","Delta",38.13888707,-121.6953247,"Yolo runoff"
"22","DM14056",401.849,"DM","2014-03-28",2014,71,3.76,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"23","DM14057",275.863,"DM","2014-03-28",2014,39,0.52,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"24","DM14058",265.1,"DM","2014-03-28",2014,37,0.45,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"25","DM14065",313.361,"DM","2014-03-11",2014,48,1.34,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"26","DM14066",311.676,"DM","2014-03-11",2014,45,1.03,"TM001N","Brannan Island","Delta",38.11666073,-121.6837998,"excl"
"27","DM14067",320.751,"DM","2014-03-11",2014,40,0.77,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"28","DM14068",239.469,"DM","2014-03-11",2014,36,0.35,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"29","DM14069",320.37,"DM","2014-03-11",2014,45,1.1,"LP003E","Terminous","Delta",38.10993564,-121.5001684,"Cosumnes runoff"
"30","DM14070",347.452,"DM","2014-03-11",2014,44,1.06,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"31","DM14071",345.538,"DM","2014-03-11",2014,47,1.16,"TM001N","Brannan Island","Delta",38.11666073,-121.6837998,"excl"
"32","DM14072",296.693,"DM","2014-03-11",2014,43,1.04,"TM001N","Brannan Island","Delta",38.11666073,-121.6837998,"excl"
"33","DM14073",319.93,"DM","2014-03-11",2014,43,1.12,"TM001N","Brannan Island","Delta",38.11666073,-121.6837998,"excl"
"34","DM14074",377.28,"DM","2014-03-11",2014,59,2.51,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"35","DM14075",341.571,"DM","2014-03-11",2014,49,1.42,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"36","DM14076",318.693,"DM","2014-03-11",2014,47,1.14,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"37","DM14077",329.17,"DM","2014-03-11",2014,42,0.85,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"38","DM14078",291.624,"DM","2014-03-11",2014,44,1.06,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"39","DM14079",267.315,"DM","2014-03-11",2014,40,0.72,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"40","DM14085",352.339,"DM","2014-03-18",2014,53,1.56,"SJ026S","Medford Island","Delta",38.05160734,-121.5098959,"excl"
"41","DM14087",428.386,"DM","2014-04-01",2014,69,3.59,"SR012W","Sandy Beach","Delta",38.13888707,-121.6953247,"Yolo runoff"
"42","DM14088",494.715,"DM","2014-04-01",2014,66,3.42,"SR012W","Sandy Beach","Delta",38.13888707,-121.6953247,"Yolo runoff"
"43","DM14089",484.29,"DM","2014-04-01",2014,65,2.88,"SR012W","Sandy Beach","Delta",38.13888707,-121.6953247,"Yolo runoff"
"44","DM14090",371.229,"DM","2014-04-01",2014,46,1.01,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"45","DM14091",325.544,"DM","2014-04-01",2014,47,1.15,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"46","DM14092",428.484,"DM","2014-04-01",2014,55,1.87,"SR012W","Sandy Beach","Delta",38.13888707,-121.6953247,"Yolo runoff"
"47","DM14093",360.534,"DM","2014-04-01",2014,58,1.98,"SJ005N","Eddos","Delta",38.05079336,-121.6994317,"West Delta"
"48","DM14094",393.464,"DM","2014-04-01",2014,54,1.78,"SJ005N","Eddos","Delta",38.05079336,-121.6994317,"West Delta"
"49","DM14095",444.284,"DM","2014-04-01",2014,58,2.27,"SJ005N","Eddos","Delta",38.05079336,-121.6994317,"West Delta"
"50","DM14097",396.475,"DM","2014-04-01",2014,56,2.01,"SJ005N","Eddos","Delta",38.05079336,-121.6994317,"West Delta"
"51","DM14099",346.01,"DM","2014-04-01",2014,51,1.59,"SJ005N","Eddos","Delta",38.05079336,-121.6994317,"West Delta"
"52","DM14100",438.713,"DM","2014-04-01",2014,90,4.21,"SJ005N","Eddos","Delta",38.05079336,-121.6994317,"West Delta"
"53","DM14101",344.869,"DM","2014-04-01",2014,50,1.55,"SJ005N","Eddos","Delta",38.05079336,-121.6994317,"West Delta"
"54","DM14102",317.997,"DM","2014-03-07",2014,46,0.91,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"55","DM14103",295.053,"DM","2014-03-07",2014,45,0.82,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"56","DM14104",336.589,"DM","2014-03-07",2014,54,1.51,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"57","DM14105",330.67,"DM","2014-03-07",2014,40,0.54,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"58","DM14107",258.061,"DM","2014-03-07",2014,38,0.52,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"59","DM14108",215.132,"DM","2014-03-07",2014,36,0.36,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"60","DM14109",335.787,"DM","2014-03-07",2014,44,0.82,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"61","DM14110",298.078,"DM","2014-03-07",2014,46,0.89,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"62","DM14111",276.006,"DM","2014-03-07",2014,45,0.87,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"63","DM14112",310.988,"DM","2014-03-07",2014,46,0.97,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"64","DM14113",317.277,"DM","2014-03-07",2014,40,0.74,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"65","DM14114",268.521,"DM","2014-03-07",2014,40,0.5,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"66","DM14115",260.575,"DM","2014-03-07",2014,39,0.33,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"67","DM14117",286.105,"DM","2014-03-07",2014,35,0.28,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"68","DM14118",342.765,"DM","2014-03-25",2014,56,1.28,"SR012W","Sandy Beach","Delta",38.13888707,-121.6953247,"Yolo runoff"
"69","DM14119",281.902,"DM","2014-03-25",2014,42,0.66,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"70","DM14120",405.02,"DM","2014-03-25",2014,58,2.39,"MS001N","Sherman Island","Delta",38.0560806,-121.7859278,"West Delta"
"71","DM14121",346.484,"DM","2014-03-25",2014,43,0.8,"MS001N","Sherman Island","Delta",38.0560806,-121.7859278,"West Delta"
"72","DM14122",356.077,"DM","2014-03-25",2014,55,2,"MS001N","Sherman Island","Delta",38.0560806,-121.7859278,"West Delta"
"73","DM14123",339.25,"DM","2014-03-25",2014,45,0.88,"SR012W","Sandy Beach","Delta",38.13888707,-121.6953247,"Yolo runoff"
"74","DM14124",277.176,"DM","2014-03-25",2014,41,0.7,"SR012W","Sandy Beach","Delta",38.13888707,-121.6953247,"Yolo runoff"
"75","DM14125",242.668,"DM","2014-03-25",2014,45,1.02,"SJ005N","Eddos","Delta",38.05079336,-121.6994317,"West Delta"
"76","DM14126",378.281,"DM","2014-03-20",2014,54,1.54,"SJ001S","Antioch Dunes","Delta",38.01480683,-121.7827132,"West Delta"
"77","DM14127",343.152,"DM","2014-03-20",2014,55,1.78,"SJ001S","Antioch Dunes","Delta",38.01480683,-121.7827132,"West Delta"
"78","DM14128",391.911,"DM","2014-03-20",2014,53,1.29,"SJ001S","Antioch Dunes","Delta",38.01480683,-121.7827132,"West Delta"
