"","Sample_ID","collect_date","Escap_yr","sex","Exog_dist","Spot_no","Distance_um","Sr8786_norm","SE2","SrV","respot","Spot_size_um","Readage","fork_length"
"1","WR07-01",NA,2007,"Unknown",245,1,7.101,0.708129,0.00024,1.12,"n",60,NA,NA
"2","WR07-01",NA,2007,"Unknown",245,2,54.44,0.70771,0.000196,1,"n",60,NA,NA
"3","WR07-01",NA,2007,"Unknown",245,3,114.29,0.706856,0.00011,0.94,"n",60,NA,NA
"4","WR07-01",NA,2007,"Unknown",245,4,169.406,0.705834,3e-04,0.98,"n",60,NA,NA
"5","WR07-01",NA,2007,"Unknown",245,5,235.004,0.705551,0.00024,0.8,"n",60,NA,NA
"6","WR07-01",NA,2007,"Unknown",245,6,289.782,0.704769,2e-04,0.75,"n",60,NA,NA
"7","WR07-01",NA,2007,"Unknown",245,7,350.61,0.705056,0.00034,0.71,"n",60,NA,NA
"8","WR07-01",NA,2007,"Unknown",245,15,357.747,0.704569,0.00019,0.67,"n",60,NA,NA
"9","WR07-01",NA,2007,"Unknown",245,8,412.863,0.704417,3e-04,0.65,"n",60,NA,NA
"10","WR07-01",NA,2007,"Unknown",245,9,476.432,0.704432,0.000178,0.63,"n",60,NA,NA
"11","WR07-01",NA,2007,"Unknown",245,10,532.225,0.704658,0.00044,0.59,"n",60,NA,NA
"12","WR07-01",NA,2007,"Unknown",245,11,597.147,0.704807,0.00038,0.57,"n",60,NA,NA
"13","WR07-01",NA,2007,"Unknown",245,16,613.603,0.70491,0.00022,0.56,"n",60,NA,NA
"14","WR07-01",NA,2007,"Unknown",245,12,660.716,0.705605,2e-04,0.62,"n",60,NA,NA
"15","WR07-01",NA,2007,"Unknown",245,17,679.007,0.706589,0.00026,0.62,"n",60,NA,NA
"16","WR07-01",NA,2007,"Unknown",245,13,722.595,0.708544,0.000154,1.41,"n",60,NA,NA
"17","WR07-01",NA,2007,"Unknown",245,14,784.474,0.709074,0.000158,1.72,"n",60,NA,NA
"18","WR07-02",NA,2007,"Unknown",230,19,30.793,0.70757,2e-04,1.05,"n",60,NA,NA
"19","WR07-02",NA,2007,"Unknown",230,20,90.793,0.707121,0.00026,0.9,"n",60,NA,NA
"20","WR07-02",NA,2007,"Unknown",230,21,150.793,0.706338,0.00036,0.83,"n",60,NA,NA
"21","WR07-02",NA,2007,"Unknown",230,22,210.793,0.706323,0.000112,0.96,"n",60,NA,NA
"22","WR07-02",NA,2007,"Unknown",230,23,270.793,0.705007,0.000182,0.98,"n",60,NA,NA
"23","WR07-02",NA,2007,"Unknown",230,24,330.793,0.704945,3.4e-05,0.95,"n",60,NA,NA
"24","WR07-02",NA,2007,"Unknown",230,25,390.793,0.704886,6e-04,0.86,"n",60,NA,NA
"25","WR07-02",NA,2007,"Unknown",230,27,510.793,0.705199,0.00016,0.84,"n",60,NA,NA
"26","WR07-02",NA,2007,"Unknown",230,28,570.793,0.707603,0.00038,1.04,"n",60,NA,NA
"27","WR07-02",NA,2007,"Unknown",230,29,630.793,0.708917,0.00086,0.98,"n",60,NA,NA
"28","WR07-02",NA,2007,"Unknown",230,30,690.793,0.708635,0.00054,0.96,"n",60,NA,NA
"29","WR07-02",NA,2007,"Unknown",230,31,750.793,0.708574,0.000184,1.62,"n",60,NA,NA
"30","WR07-02",NA,2007,"Unknown",230,32,810.793,0.708968,0.00022,2.53,"n",60,NA,NA
"31","WR07-02",NA,2007,"Unknown",230,33,870.793,0.709112,7.6e-05,2.39,"n",60,NA,NA
"32","WR07-03",NA,2007,"Unknown",230,2,60,0.707338,0.00026,0.86,"n",60,NA,NA
"33","WR07-03",NA,2007,"Unknown",230,3,120,0.706476,0.000198,0.81,"n",60,NA,NA
"34","WR07-03",NA,2007,"Unknown",230,4,180,0.706001,0.000178,0.84,"n",60,NA,NA
"35","WR07-03",NA,2007,"Unknown",230,5,240,0.705095,0.000186,0.89,"n",60,NA,NA
"36","WR07-03",NA,2007,"Unknown",230,6,300,0.705236,0.00022,0.81,"n",60,NA,NA
"37","WR07-03",NA,2007,"Unknown",230,7,360,0.705405,3e-04,0.65,"n",60,NA,NA
"38","WR07-03",NA,2007,"Unknown",230,14,390,0.705819,0.00026,0.73,"n",60,NA,NA
