Year,Sample Number,Age,Readage,Recovery Date,Fork Length (mm),Sex,CWT Code
2005,510085,2,2,38547,585,M,051974
2005,510097,3,0,38550,746,M,051298
2005,510101,0,3,38471,761,M,200000
2005,510114,3,0,38487,820,M,051296
2005,510115,3,0,38492,770,F,051364
2005,510140,0,2,38501,800,M,
2005,510145,0,2,38502,630,M,
2005,510148,2,2,38502,600,M,051985
2005,510155,0,3,38507,781,M,
2005,510159,3,2,38508,790,M,051290
2005,510170,0,3,38513,785,M,
2005,510171,0,2,38513,776,M,
2005,510194,0,3,38516,730,M,
2005,510199,0,3,38516,750,M,
2005,510201,0,3,38516,780,M,
2005,510202,3,2,38516,789,M,051282
2005,510207,0,0,38517,780,M,
2005,510217,0,2,38517,587,M,
2005,510220,0,2,38517,787,M,
2005,510225,0,3,38519,784,M,
2005,510227,0,3,38519,720,M,
2005,510241,0,2,38520,595,M,
2005,510253,0,0,38522,777,M,
2005,510267,0,3,38523,595,M,
2005,510274,0,2,38524,563,M,
2005,510279,0,3,38525,795,M,
2005,510281,0,3,38525,603,M,
2005,510293,0,3,38527,565,M,
2005,510301,0,2,38526,607,M,
2005,510304,0,2,38526,560,M,
2005,510309,0,2,38526,764,M,
2005,510312,0,3,38526,775,M,
2005,510314,0,3,38526,762,M,
2005,510345,0,3,38529,747,M,
2005,510353,0,2,38530,565,M,
2005,510356,0,3,38531,770,M,
2005,510363,0,2,38531,590,M,
2005,510364,0,2,38531,585,M,
2005,510370,0,2,38531,770,M,100000
2005,510373,3,2,38532,765,M,051278
2005,510375,3,3,38532,773,M,051372
2005,510403,0,0,38529,560,M,
2005,510411,0,2,38529,650,M,
2005,510430,3,0,38533,680,M,051366
2005,510455,3,3,38537,735,M,051282
2005,510456,3,2,38541,898,M,051293
2005,510464,3,3,38541,680,M,053737
2005,510501,2,2,38546,570,M,051974
2005,510502,2,2,38546,630,M,051996
2005,510556,3,3,38552,646,F,051366
2005,510566,3,3,38543,760,M,051369
2005,510570,2,3,38543,610,M,051996
