"Sample_ID","FWDist_8786","FWDist_SrV","FWExit_dist"
"WR07-01",707.121817391302,717.938256708861,707.121817391302
"WR07-02",582.071538812794,772.907285714285,772.907285714285
"WR07-03",586.650717703364,624.514285714286,586.650717703364
"WR07-04",725.024363937142,949.988828837209,949.988828837209
"WR07-05",646.088795180724,655.066672727273,646.088795180724
"WR07-07",539.046179104502,633.942145307502,539.046179104502
"WR07-08",640.347394540935,622.114285714286,640.347394540935
"WR07-09",699.425493716342,719.533333333333,699.425493716342
"WR07-10",691.943870577292,707.136935,691.943870577292
"WR07-11",630.094877162635,649.006830526316,630.094877162635
"WR07-12",677.12078071334,677.323382089552,677.12078071334
"WR07-13",701.666060522151,668.42398440678,701.666060522151
"WR07-14",642.750480546791,664.774075,642.750480546791
"WR07-15",484.362278260869,608.63348,608.63348
"WR07-16",526.866973782771,525.890052918803,526.866973782771
"WR07-17",620.215013801757,616.68951434,620.215013801757
"WR07-18",579.853577644413,572.754799578947,579.853577644413
"WR07-19",735.852746987955,728.15552,735.852746987955
"WR07-20",580.844859813085,572.412121212121,580.844859813085
"WR07-21",370.033344630976,565.430186086956,565.430186086956
"WR07-23",541.317732829673,526.996998965517,541.317732829673
"WR07-24",633.218918150684,634.17894,633.218918150684
"WR07-25",627.443789473677,652.867037735849,627.443789473677
"WR07-26",588.757821368006,565.168044102564,588.757821368006
"WR07-27",687.29009177431,671.043663924444,687.29009177431
"WR07-28",597.913849472676,579.408307317073,597.913849472676
"WR07-29",676.546841546626,678.821757714286,676.546841546626
"WR07-30",585.956043956066,566.536134453782,585.956043956066
"WR08-01",363.887078794899,624.199523809524,624.199523809524
"WR08-03",621.098072619245,687.011333333333,621.098072619245
"WR08-04",680.470802711861,718.969072164948,680.470802711861
"WR08-05",690.202682233874,665.026232175073,690.202682233874
"WR08-06",615.51607530937,712.276250377702,615.51607530937
"WR08-07",391.108367063507,617.107313965836,617.107313965836
"WR08-08",679.970489974305,692.963848984786,679.970489974305
"WR08-09",607.803762490468,604.946819623171,604.946819623171
"WR08-10",646.023420874903,640.783701421628,646.023420874903
"WR08-11",618.426203105944,636.598296722908,618.426203105944
"WR08-12",651.340739120951,609.168353915169,651.340739120951
"WR08-13",502.878345218203,574.542694252336,502.878345218203
"WR08-14",648.662478779192,670.762881322137,648.662478779192
"WR08-15",483.586872393778,643.992145260059,643.992145260059
"WR08-16",568.025287512646,581.385328365999,568.025287512646
"WR08-17",582.73020956507,605.037396370748,582.73020956507
"WR08-18",489.716949689415,710.530011217125,710.530011217125
"WR08-19",527.741554219847,648.986944397739,648.986944397739
"WR08-20",632.973549203391,635.687396828416,632.973549203391
"WR08-21",746.499996187824,743.895405949267,746.499996187824
"WR08-22",571.408741735344,367.30009342443,571.408741735344
"WR08-24",615.734096357373,644.689971198901,615.734096357373
"WR08-25",638.424165175995,676.394904479786,638.424165175995
"WR08-26",599.364637460805,591.875023014101,599.364637460805
"WR08-27",533.587790127111,514.191612903226,533.587790127111
"WR08-28",571.528917397558,607.216859504132,571.528917397558
"WR08-29",633.829512332341,636.347628420542,633.829512332341
"WR08-30",679.996870728039,706.857313432836,679.996870728039
"WR08-31",697.901172091199,697.5775,697.901172091199
"WR08-32",561.603838882529,556.965124000057,561.603838882529
"WR08-33",738.049885530398,740.580702265599,738.049885530398
"WR08-34",687.351653269161,676.620599263375,687.351653269161
"WR08-35",668.412613791759,708.59323707796,668.412613791759
"WR08-36",704.974080613367,484.219304196329,704.974080613367
"WR08-37",663.813828035327,680.022729095304,663.813828035327
"WR08-39",577.225297641915,613.483081633111,577.225297641915
"WR08-40",634.365295080814,681.419350198953,634.365295080814
"WR08-41",696.328179038817,581.36,696.328179038817
"WR08-42",401.085408122053,685.92340820778,685.92340820778
"WR08-43",406.608634836939,651.471538461538,651.471538461538
"WR08-44",556.716717785928,648.702882447778,556.716717785928
"WR08-45",553.628610594564,563.51955601015,553.628610594564
"WR08-46",603.954288082925,598.240811325237,603.954288082925
"WR08-47",342.574693765248,662.759182679467,662.759182679467
"WR08-48",727.070354137908,734.167939646542,727.070354137908
"WR08-49",671.254973452842,689.540516756218,671.254973452842
"WR08-50",657.246044414846,NA,657.246044414846
"WR08-51",575.925371854883,541.913168597259,575.925371854883
"WR08-52",430.654938939982,777.124506139639,777.124506139639
"WR08-53",539.615221612916,533.403693873717,539.615221612916
"WR08-54",609.068725020057,585.279111111111,609.068725020057
"WR08-55",693.780805960958,669.932706136575,693.780805960958
"WR08-56",668.410540315104,NA,668.410540315104
"WR08-57",614.981664915278,615.474673086863,614.981664915278
"WR08-58",777.031422120157,799.193882594737,777.031422120157
"WR08-60",585.9026759509,595.847199651029,585.9026759509
"WR08-62",715.218317085029,812.938462914122,715.218317085029
"WR08-63",647.978279027502,523.880715554541,647.978279027502
"WR08-64",610.233196501877,595.543333333333,610.233196501877
"WR08-65",508.904749906578,656.038861960553,656.038861960553
"WR08-66",588.508919822121,597.056170212766,588.508919822121
"WR08-67",564.758872610561,583.588679245283,564.758872610561
"WR08-68",641.91578574845,656.475599197006,641.91578574845
"WR08-69",623.870832378532,659.251134116218,623.870832378532
"WR08-70",398.419393763939,609.857182426271,609.857182426271
"WR08-71",570.618538110393,591.649278782164,570.618538110393
"WR08-72",647.076351892953,654.315974280365,647.076351892953
"WR08-73",423.093105886817,565.624418563338,565.624418563338
"WR08-74",576.663555804305,592.621338307366,576.663555804305
"WR08-75",708.719102752671,731.306809073677,708.719102752671
"WR08-76",407.150710106451,623.723186769906,407.150710106451
"WR08-77",680.847718963105,659.352194932714,680.847718963105
"WR08-78",595.801385737468,630.502226011031,595.801385737468
"WR08-79",409.276092792667,626.234347433063,626.234347433063
"WR08-80",412.408909829481,726.878675374663,726.878675374663
"WR08-81",605.399461378322,659.293128612404,605.399461378322
"WR08-82",373.528067137142,615.323525545952,615.323525545952
"WR08-83",750.769861159617,744.486673342279,750.769861159617
"WR08-84",603.285617881653,619.013006993007,603.285617881653
"WR08-86",689.336028914015,672.649503370019,689.336028914015
"WR08-87",615.523637571157,623.538869557837,615.523637571157
"WR08-88",614.763845900336,600.946011127696,614.763845900336
"WR08-89",614.687153402398,675.146055268721,614.687153402398
"WR08-90",486.939967933695,684.1703160612,684.1703160612
"WR08-91",460.185164638098,657.549433962264,657.549433962264
"WR08-93",471.576746405257,765.890470339015,720
"WR08-94",623.832791475037,631.830830121027,623.832791475037
