"","X","Sample_ID","collect_date","Escap_yr","sex","Exog_dist","Spot_no","Distance_um","Sr8786_norm","SE2","SrV","respot","Spot_size_um","Readage","fork_length","SrV2","SrVpercent","FWExit_dist","Habitat"
"1",1,"WR07-01",NA,2007,"Unknown",245,1,7.101,0.708129,0.00024,1.12,"n",60,NA,NA,NA,NA,707.1218,NA
"2",2,"WR07-01",NA,2007,"Unknown",245,2,54.44,0.70771,0.000196,1,"n",60,NA,NA,NA,NA,707.1218,NA
"3",3,"WR07-01",NA,2007,"Unknown",245,3,114.29,0.706856,0.00011,0.94,"n",60,NA,NA,NA,NA,707.1218,NA
"4",4,"WR07-01",NA,2007,"Unknown",245,4,169.406,0.705834,3e-04,0.98,"n",60,NA,NA,NA,NA,707.1218,NA
"5",5,"WR07-01",NA,2007,"Unknown",245,5,235.004,0.705551,0.00024,0.8,"n",60,NA,NA,NA,NA,707.1218,NA
"6",6,"WR07-01",NA,2007,"Unknown",245,6,289.782,0.704769,2e-04,0.75,"n",60,NA,NA,0.75,0.163793103448276,707.1218,"SAC"
"7",7,"WR07-01",NA,2007,"Unknown",245,7,350.61,0.705056,0.00034,0.71,"n",60,NA,NA,0.71,0.129310344827586,707.1218,"SAC"
"8",8,"WR07-01",NA,2007,"Unknown",245,15,357.747,0.704569,0.00019,0.67,"n",60,NA,NA,0.67,0.0948275862068965,707.1218,"LAS"
"9",9,"WR07-01",NA,2007,"Unknown",245,8,412.863,0.704417,3e-04,0.65,"n",60,NA,NA,0.65,0.0775862068965517,707.1218,"LAS"
"10",10,"WR07-01",NA,2007,"Unknown",245,9,476.432,0.704432,0.000178,0.63,"n",60,NA,NA,0.63,0.0603448275862069,707.1218,"LAS"
"11",11,"WR07-01",NA,2007,"Unknown",245,10,532.225,0.704658,0.00044,0.59,"n",60,NA,NA,0.59,0.0258620689655172,707.1218,"LAS"
"12",12,"WR07-01",NA,2007,"Unknown",245,11,597.147,0.704807,0.00038,0.57,"n",60,NA,NA,0.57,0.00862068965517233,707.1218,"SAC"
"13",13,"WR07-01",NA,2007,"Unknown",245,16,613.603,0.70491,0.00022,0.56,"n",60,NA,NA,0.56,0,707.1218,"SAC"
"14",14,"WR07-01",NA,2007,"Unknown",245,12,660.716,0.705605,2e-04,0.62,"n",60,NA,NA,0.62,0.0517241379310344,707.1218,"SAC"
"15",15,"WR07-01",NA,2007,"Unknown",245,17,679.007,0.706589,0.00026,0.62,"n",60,NA,NA,0.62,0.0517241379310344,707.1218,"DEL"
"16",16,"WR07-01",NA,2007,"Unknown",245,13,722.595,0.708544,0.000154,1.41,"n",60,NA,NA,1.41,0.732758620689655,707.1218,NA
"17",17,"WR07-01",NA,2007,"Unknown",245,14,784.474,0.709074,0.000158,1.72,"n",60,NA,NA,1.72,1,707.1218,NA
"18",18,"WR07-02",NA,2007,"Unknown",230,19,30.793,0.70757,2e-04,1.05,"n",60,NA,NA,NA,NA,772.907285714285,NA
"19",19,"WR07-02",NA,2007,"Unknown",230,20,90.793,0.707121,0.00026,0.9,"n",60,NA,NA,NA,NA,772.907285714285,NA
"20",20,"WR07-02",NA,2007,"Unknown",230,21,150.793,0.706338,0.00036,0.83,"n",60,NA,NA,NA,NA,772.907285714285,NA
"21",21,"WR07-02",NA,2007,"Unknown",230,22,210.793,0.706323,0.000112,0.96,"n",60,NA,NA,NA,NA,772.907285714285,NA
"22",22,"WR07-02",NA,2007,"Unknown",230,23,270.793,0.705007,0.000182,0.98,"n",60,NA,NA,0.98,0.0828402366863905,772.907285714285,"SAC"
"23",23,"WR07-02",NA,2007,"Unknown",230,24,330.793,0.704945,3.4e-05,0.95,"n",60,NA,NA,0.95,0.0650887573964497,772.907285714285,"SAC"
"24",24,"WR07-02",NA,2007,"Unknown",230,25,390.793,0.704886,6e-04,0.86,"n",60,NA,NA,0.86,0.0118343195266272,772.907285714285,"SAC"
"25",25,"WR07-02",NA,2007,"Unknown",230,27,510.793,0.705199,0.00016,0.84,"n",60,NA,NA,0.84,0,772.907285714285,"SAC"
"26",26,"WR07-02",NA,2007,"Unknown",230,28,570.793,0.707603,0.00038,1.04,"n",60,NA,NA,1.04,0.118343195266272,772.907285714285,"AME"
"27",27,"WR07-02",NA,2007,"Unknown",230,29,630.793,0.708917,0.00086,0.98,"n",60,NA,NA,0.98,0.0828402366863905,772.907285714285,"AME"
"28",28,"WR07-02",NA,2007,"Unknown",230,30,690.793,0.708635,0.00054,0.96,"n",60,NA,NA,0.96,0.0710059171597633,772.907285714285,"AME"
"29",29,"WR07-02",NA,2007,"Unknown",230,31,750.793,0.708574,0.000184,1.62,"n",60,NA,NA,1.62,0.461538461538462,772.907285714285,"AME"
"30",30,"WR07-02",NA,2007,"Unknown",230,32,810.793,0.708968,0.00022,2.53,"n",60,NA,NA,2.53,1,772.907285714285,NA
