"Sample_ID","Brood_year","fork_length","las_dist","ame_dist","x_dist","del_dist","rearing_type"
"WR07-01",2004,NA,239.4,0,0,0,"LAS"
"WR07-02",2004,NA,0,240,0,0,"AME"
"WR07-03",2004,NA,0,0,0,180,"DEL"
"WR07-04",2004,NA,0,303.983,0,0,"AME"
"WR07-05",2004,NA,0,0,57.483,0,"X"
"WR07-06",2004,NA,120,0,0,0,"LAS"
"WR07-07",2004,NA,124.772,0,0,0,"LAS"
"WR07-08",2004,NA,180,0,0,0,"LAS"
"WR07-09",2004,NA,0,0,0,0,"SAC"
"WR07-10",2004,NA,0,0,0,0,"SAC"
"WR07-11",2004,NA,58.497,0,0,0,"LAS"
"WR07-12",2004,NA,92.6539999999999,0,0,0,"LAS"
"WR07-13",2004,NA,0,0,0,0,"SAC"
"WR07-14",2004,NA,175.331,0,0,0,"LAS"
"WR07-15",2004,NA,0,123.234,82.928,0,"AME"
"WR07-16",2004,NA,176.168,0,0,0,"LAS"
"WR07-17",2004,NA,146.748,0,0,0,"LAS"
"WR07-18",2004,NA,0,0,0,0,"SAC"
"WR07-19",2004,NA,83.35,0,0,0,"LAS"
"WR07-20",2004,NA,0,0,0,0,"SAC"
"WR07-21",2004,NA,0,175.492,0,0,"AME"
"WR07-23",2004,NA,67.289,0,0,0,"LAS"
"WR07-24",2004,NA,0,0,0,0,"SAC"
"WR07-25",2004,NA,0,0,0,129.172,"DEL"
"WR07-26",2004,NA,0,0,0,0,"SAC"
"WR07-27",2004,NA,0,0,0,0,"SAC"
"WR07-28",2004,NA,0,0,0,0,"SAC"
"WR07-29",2004,NA,0,0,0,0,"SAC"
"WR07-30",2004,NA,0,0,0,0,"SAC"
"WR08-01",2005,NA,40,281,0,0,"AME"
"WR08-03",2005,NA,0,0,0,0,"SAC"
"WR08-04",2005,NA,0,0,0,176,"DEL"
"WR08-05",2005,NA,189,0,0,0,"LAS"
"WR08-06",2005,NA,0,0,0,159,"DEL"
"WR08-07",2005,NA,0,280,0,0,"AME"
"WR08-08",2005,NA,105,0,0,0,"LAS"
"WR08-09",2005,NA,0,74,0,0,"AME"
"WR08-10",2005,NA,0,0,0,0,"SAC"
"WR08-11",2005,NA,0,0,0,215,"DEL"
"WR08-12",2005,NA,0,0,0,0,"SAC"
"WR08-13",2005,NA,0,0,0,221,"DEL"
"WR08-14",2005,NA,0,0,0,210,"DEL"
"WR08-15",2005,NA,0,156,0,0,"AME"
"WR08-16",2005,NA,0,0,0,0,"SAC"
"WR08-17",2005,NA,0,0,0,0,"SAC"
"WR08-18",2005,NA,0,272,0,0,"AME"
"WR08-19",2005,NA,0,197,0,0,"AME"
"WR08-20",2005,NA,0,0,0,0,"SAC"
"WR08-21",2005,NA,276,0,0,0,"LAS"
"WR08-22",2005,NA,92.75,0,0,0,"LAS"
"WR08-23",2005,NA,0,118,0,0,"AME"
"WR08-24",2005,NA,0,0,162,0,"X"
"WR08-25",2005,NA,0,0,0,0,"SAC"
"WR08-26",2005,NA,0,0,0,0,"SAC"
"WR08-27",2005,NA,93,0,0,0,"LAS"
"WR08-28",2005,NA,0,0,0,168,"DEL"
"WR08-29",2005,NA,0,0,0,150,"DEL"
"WR08-30",2005,NA,0,0,0,0,"SAC"
"WR08-31",2005,NA,0,0,0,0,"SAC"
"WR08-32",2005,NA,0,0,0,0,"SAC"
"WR08-33",2005,NA,162,0,0,0,"LAS"
"WR08-34",2005,NA,54,0,0,0,"LAS"
"WR08-35",2005,NA,61,0,0,0,"LAS"
"WR08-36",2005,NA,216,0,0,0,"LAS"
"WR08-37",2005,NA,0,0,0,0,"SAC"
"WR08-39",2005,NA,56,0,0,0,"LAS"
"WR08-40",2005,NA,0,0,0,0,"SAC"
"WR08-41",2005,NA,0,0,0,260,"DEL"
"WR08-42",2005,NA,0,331,0,0,"AME"
"WR08-43",2005,NA,0,273,0,0,"AME"
"WR08-44",2005,NA,0,0,0,0,"SAC"
"WR08-45",2005,NA,0,0,0,0,"SAC"
"WR08-46",2005,NA,57,0,0,0,"LAS"
"WR08-47",2005,NA,0,333,0,0,"AME"
"WR08-48",2005,NA,0,0,0,0,"SAC"
"WR08-49",2005,NA,0,151,0,0,"AME"
"WR08-50",2005,NA,0,0,0,0,"SAC"
"WR08-51",2005,NA,0,0,0,200,"DEL"
"WR08-52",2005,NA,0,357,0,0,"AME"
"WR08-53",2005,NA,0,0,0,0,"SAC"
"WR08-54",2005,NA,0,0,0,194,"DEL"
"WR08-55",2005,NA,0,0,0,0,"SAC"
"WR08-56",2005,NA,0,0,0,244,"DEL"
"WR08-57",2005,NA,236,0,0,0,"LAS"
"WR08-58",2005,NA,0,0,0,0,"SAC"
"WR08-60",2005,NA,0,0,0,136,"DEL"
"WR08-62",2005,NA,233,0,0,0,"LAS"
"WR08-63",2005,NA,0,0,0,176,"DEL"
"WR08-64",2005,NA,146,0,0,0,"LAS"
"WR08-65",2005,NA,0,212,0,0,"AME"
"WR08-66",2005,NA,0,0,0,0,"SAC"
"WR08-67",2005,NA,0,0,0,200,"DEL"
"WR08-68",2005,NA,0,0,0,0,"SAC"
"WR08-69",2005,NA,0,0,0,278,"DEL"
"WR08-70",2005,NA,0,227,0,0,"AME"
"WR08-71",2005,NA,0,0,0,161,"DEL"
"WR08-72",2005,NA,0,0,0,0,"SAC"
"WR08-73",2005,NA,0,158,0,0,"AME"
"WR08-74",2005,NA,0,0,0,0,"SAC"
"WR08-75",2005,NA,0,0,0,0,"SAC"
"WR08-76",2005,NA,0,0,0,0,"SAC"
"WR08-77",2005,NA,0,0,0,189,"DEL"
"WR08-78",2005,NA,0,0,0,235,"DEL"
"WR08-79",2005,NA,0,276,0,0,"AME"
"WR08-80",2005,NA,0,325,0,0,"AME"
