"","Sample_ID","Brood_year","fork_length","las_dist","ame_dist","x_dist","del_dist","rearing_type"
"1","WR07-01",2004,NA,239.4,NA,NA,NA,"LAS"
"2","WR07-02",2004,NA,NA,240,NA,NA,"AME"
"3","WR07-03",2004,NA,NA,NA,NA,180,"DEL"
"4","WR07-04",2004,NA,NA,303.983,NA,NA,"AME"
"5","WR07-05",2004,NA,NA,NA,NA,NA,"SAC"
"6","WR07-06",2004,NA,120,NA,NA,NA,"LAS"
"7","WR07-07",2004,NA,124.772,NA,NA,NA,"LAS"
"8","WR07-08",2004,NA,180,NA,NA,NA,"LAS"
"9","WR07-09",2004,NA,NA,NA,NA,NA,"SAC"
"10","WR07-10",2004,NA,NA,NA,NA,NA,"SAC"
"11","WR07-11",2004,NA,58.497,NA,NA,NA,"LAS"
"12","WR07-12",2004,NA,92.6539999999999,NA,NA,NA,"LAS"
"13","WR07-13",2004,NA,NA,NA,NA,NA,"SAC"
"14","WR07-14",2004,NA,175.331,NA,NA,NA,"LAS"
"15","WR07-15",2004,NA,NA,123.234,NA,NA,"AME"
"16","WR07-16",2004,NA,176.168,NA,NA,NA,"LAS"
"17","WR07-17",2004,NA,146.748,NA,NA,NA,"LAS"
"18","WR07-18",2004,NA,NA,NA,NA,NA,"SAC"
"19","WR07-19",2004,NA,83.35,NA,NA,NA,"LAS"
"20","WR07-20",2004,NA,NA,NA,NA,NA,"SAC"
"21","WR07-21",2004,NA,NA,175.492,NA,NA,"AME"
"22","WR07-23",2004,NA,67.289,NA,NA,NA,"LAS"
"23","WR07-24",2004,NA,NA,NA,NA,NA,"SAC"
"24","WR07-25",2004,NA,NA,NA,NA,129.172,"DEL"
"25","WR07-26",2004,NA,NA,NA,NA,NA,"SAC"
"26","WR07-27",2004,NA,NA,NA,NA,NA,"SAC"
"27","WR07-28",2004,NA,NA,NA,NA,NA,"SAC"
"28","WR07-29",2004,NA,NA,NA,NA,NA,"SAC"
"29","WR07-30",2004,NA,NA,NA,NA,NA,"SAC"
"30","WR08-01",2005,NA,40,281,NA,NA,"LAS"
"31","WR08-03",2005,NA,NA,NA,NA,NA,"SAC"
"32","WR08-04",2005,NA,NA,NA,NA,176,"DEL"
"33","WR08-05",2005,NA,189,NA,NA,NA,"LAS"
"34","WR08-06",2005,NA,NA,NA,NA,159,"DEL"
"35","WR08-07",2005,NA,NA,280,NA,NA,"AME"
"36","WR08-08",2005,NA,105,NA,NA,NA,"LAS"
"37","WR08-09",2005,NA,NA,74,NA,NA,"AME"
"38","WR08-10",2005,NA,NA,NA,NA,NA,"SAC"
"39","WR08-11",2005,NA,NA,NA,NA,215,"DEL"
"40","WR08-12",2005,NA,NA,NA,NA,NA,"SAC"
"41","WR08-13",2005,NA,NA,NA,NA,221,"DEL"
"42","WR08-14",2005,NA,NA,NA,NA,210,"DEL"
"43","WR08-15",2005,NA,NA,156,NA,NA,"AME"
"44","WR08-16",2005,NA,NA,NA,NA,NA,"SAC"
"45","WR08-17",2005,NA,NA,NA,NA,NA,"SAC"
"46","WR08-18",2005,NA,NA,272,NA,NA,"AME"
"47","WR08-19",2005,NA,NA,197,NA,NA,"AME"
"48","WR08-20",2005,NA,NA,NA,NA,NA,"SAC"
"49","WR08-21",2005,NA,276,NA,NA,NA,"LAS"
"50","WR08-22",2005,NA,92.75,NA,NA,NA,"LAS"
"51","WR08-23",2005,NA,NA,96,NA,NA,"AME"
"52","WR08-24",2005,NA,NA,NA,162,NA,"X"
"53","WR08-25",2005,NA,NA,NA,NA,NA,"SAC"
"54","WR08-26",2005,NA,NA,NA,NA,NA,"SAC"
"55","WR08-27",2005,NA,93,NA,NA,NA,"LAS"
"56","WR08-28",2005,NA,NA,NA,NA,168,"DEL"
"57","WR08-29",2005,NA,NA,NA,NA,150,"DEL"
"58","WR08-30",2005,NA,NA,NA,NA,NA,"SAC"
"59","WR08-31",2005,NA,NA,NA,NA,NA,"SAC"
"60","WR08-32",2005,NA,NA,NA,NA,NA,"SAC"
"61","WR08-33",2005,NA,162,NA,NA,NA,"LAS"
"62","WR08-34",2005,NA,54,NA,NA,NA,"LAS"
"63","WR08-35",2005,NA,61,NA,NA,NA,"LAS"
"64","WR08-36",2005,NA,216,NA,NA,NA,"LAS"
"65","WR08-37",2005,NA,NA,NA,NA,NA,"SAC"
"66","WR08-39",2005,NA,56,NA,NA,NA,"LAS"
"67","WR08-40",2005,NA,NA,NA,NA,NA,"SAC"
"68","WR08-41",2005,NA,NA,NA,NA,260,"DEL"
"69","WR08-42",2005,NA,NA,331,NA,NA,"AME"
